thread_id,customer_message,brand_reply,intent,decision,note
2752870,"Lol shouts to   customer service for commending me on my patience on having to rebook my flight

The rep said I was ""very sweet"" wished me the best on my journey ^_^ definitely a day maker",Thank you for being a loyal customer. *TMC,rebooking_change,escalate,
1582252,Well there needs to be more red eye options on Saturday for that to actually work.,"Welcome to the best day of the year to fly red eye. Land a little earlier, do a little more. #DaylightSaving https://t.co/LCx1EKuvTZ",other,escalate,
1476737,hold flight DL101 please!! We're on tarmac on flight DL3552 waiting to get off.,"It may be too late to catch this flight, but I've sent a message to the airport to see if they can help. *HWG",rebooking_change,escalate,
1796582,it'd be great to be able to get help with a reservation without waiting 2 hours on the phone,"My apologies for the hold time, Steven. Please DM your confirmation number for further assistance. *TTN https://t.co/6iDGBJAc2m",delay_cancellation,escalate,
2450335,Thank you  for helping me to keep my Comfort Plus seat when I needed to be rerouted. I’m disabled and it helps me tremendously. 💕,"Hi Janie, so happy we could help! Have a wonderful day! *TJW",praise,auto,
1280761,"lost our seats we carefully selected, lost baggage that still hasn't shown, no apologies from the airline",I am so sorry about the delayed baggage. Please DM your confirmation number. Thank you. *TMS https://t.co/6iDGBJAc2m,baggage,escalate,
564582,",  ,  ,  , and  

https://t.co/h42TyW6KcK","Riley, we appreciate you sharing this with us.😊  *AFM",other,auto,
1164726,"I'm at  Sky Club in Atlanta, GA https://t.co/cTHU26Qt5J",Hi Jason. I hope you get to enjoy this beautiful fall day on the patio! Enjoy! *HSL,praise,auto,
904471,".  is the single worst, longest wait ticket counter in the USA.","Nicole, I am sorry that our counter at Orlando was very long this morning. I hope we are able to get you taken care of quickly. *TBW",delay_cancellation,escalate,
2694205,"Hello who do I contact to find out about a particular crew , commendation?",We will be happy to share your compliments on your behalf. Can you please share your confirmation number and compliment via DM?  *AOS https://t.co/6iDGBJAc2m,praise,escalate,
394127,Hey  trying to choose my seat for my flight tomorrow but it says no main cabin seats available. What should I do?,"Hello, Tim. Please DM your confirmation number so I can look at your reservation. Thank you.  *CAH https://t.co/6iDGBJAc2m",website_app_issue,escalate,
2026332,I’m stuck in ATL for 3 hours because  can’t seem to find a pilot to fly the plane. 😕,"Mikey, I apologize for the lengthy flight delay. Please provide your confirmation number via DM for review.  *HJB https://t.co/6iDGBJAc2m",inflight_experience,escalate,
2179862,"New #planes, new uniforms - a lot of new things at   #avgeek #DeltaFlyAway

https://t.co/ssdf5ed2R9",Thanks for sharing! *ALS,praise,auto,
417903,"I also want to thank the gate agent at A4.  I didn't get her name but she made me a priority on getting on the earlier flight.  Airlines catch a lot of flak lately, but you came thru when I needed it most. 2/2","We appreciate your feedback, Sergio. Our prayers go to you and everyone affected by the fires.  *ALA",loyalty_refund_compensation,auto,
1375790,Tanya G at LGA went above and beyond in customer service today. Thanks Tanya!,That's awesome! We're glad Tanya left such a lasting impression. Thank you for sharing your experience. *ABN,praise,auto,
403652,Client needs help connecting in ATL to CHO on DL4633 Can DM rec loc if needed and y'all can help him out. https://t.co/LQwrcA5jbk,"Melissa, I am really sorry about that. Pls follow/DM the confirmation or ticket number. *AFM https://t.co/6iDGBJAc2m",rebooking_change,escalate,
1926545,I can’t make my flight due to a car accident! I need to change my flight ASAP! I cannot miss my cruise tomorrow 😫,"HI Jessica, I'm sorry to hear about your car accident. Please follow/DM your confirmation number so I can review re-booking options.  *HPL",rebooking_change,escalate,
460214,"Can I just say I'm SO over this complaint? It's been months already. Yes,  the new CEO is making some awful changes. I used to actually watch the safety videos when Anderson was around &amp; they entertained too. Many things I don't love at Delta, but more I hate at other carriers.",Do yourself a favor and go. ✈️ 🌏,other,escalate,
1120101,- guy from my flight in leg cast just *hobbled* by... good(?) to see you treat all passengers equally (terribly). #nohelpforhimeither,"May we have your confirmation or ticket number, please? Thanks.  *HCK",inflight_experience,auto,
944395,"3 months now, lost baggage, all receipts sent in and still no recompense or customer service..at all. Every promise broken",and I will advise once I receive a response.  *HKS,baggage,escalate,
511850,you guys need more people in Sydney for Sky Priority and Delta... line is NOT moving,Thank you for your patience.  *HRS,inflight_experience,escalate,
1647940,"I'm in Italy and need to talk with an English speaking representative. The ""normal"" phone number I use in US doesn't work. Help",Thank you for reaching out. Please dial the following number when calling from Italy.  *AFC,other,escalate,
1666959,I love . Thank you for getting me to my daddy and back to Atlanta! #KeepClimbing,We love you back! Glad to hear you and pops are reunited! Have a great weekend.  *HFG,praise,auto,
423847,why would I get moved back 5 rows without being notified? I have a tight connection and got a seat towards the front for that reason,"Chris, I am sorry for the frustration. Regretfully, the equipment swap that had occurred yesterday did not require a notification. *TBW",rebooking_change,escalate,
2318722,To the land of cheese Danish I go!! Happy 36th to me!! #passionista  #fitbellegetaways… https://t.co/gg4rTMd141,"Happy Birthday, Amelia !!!! *TLT",praise,auto,
474591,Delta is my new favorite airline! Chargers and  free wifi..makes me smile!,Thanks to our incredible employees who helped over two million customers travel this Thanksgiving weekend without a cancellation. #DeltaProud https://t.co/bPanyYsOxG,praise,auto,
463614,Hey  from 30k feet your internet is really slow! Lol #jeffsetting,"Oh no, I wonder if we need a bigger antenna? 😊 Have a great week.  *TBT",praise,auto,
397068,. my flight from Zurich was canceled and Now my layover in JFK is extremely long. Would like to request a sky club pass,"Hi Bryan, you can get a SkyClub pass if you're traveling internationally in First Class or if you own a Delta American Express... 1/2",delay_cancellation,escalate,
361487,is there a lounge access for Delta Comfort passengers? Thanks,"Hello, regretfully no you would have to pay to access the SkyClub or have  a memership. Tweet us anytime! *TJM",other,escalate,
533588,"Was just told we had to stand in a line for 30 MINUTES. The ceiling has actual duct tape holding it up, but we have to stand under it.","Christie, I am terribly sorry for the way the airport may look. Regretfully, we are unable to assist with this as this is something that needs to be addressed by the actual airport. I do understand your concerns and will pass along those that have to do with our staff. *TBW",other,escalate,
1091412,here are your empty seats on DL 68. https://t.co/HVDh91R7ik,"Oh, My! I'm sorry to hear about this, Jason. Please DM flight details. I'd like to report this.  *HMB",rebooking_change,escalate,
2258130,thanks DCA ground crew for having bags off the belt and waiting!,Thanks for choosing Delta! *TMB,baggage,escalate,
1842079,since when doesn't #deltacomfort have pillows? I fly an hour &amp; get a pillow but don't from LAX2BOS. Crew could care LESS #platinum,Hello Pam. Sorry to hear that you had such a poor experience. Pls DM you confirmation and/or SkyMiles number for further review.  *HPF,inflight_experience,escalate,
949305,trying to change a ticket and getting really frustrated with roadblocks.  Can you help???,"Hi. Sorry about the troubles. Please DM your confirmation code, so I may be of assistance. Thanks. *TMA",rebooking_change,escalate,
2157824,"I try to change my booking, but it seems that your website has a bud. On every page, it displays the correct flight with the correct dates, but the system shows a wrong connecting time. What should I do? I am worried that I end up booking a wrong flight",Hi. It may be a glitch. What flight number is it that you are getting an erroneous time? *TMS,website_app_issue,escalate,
2633424,"I need you immediate attention to this issue, so that I don’t go hungry during next flight 9W 233 from Amsterdam to delhi on 10/31","Hi, Rahul. Could you please share your confirmation number via the link below for review? *AFN https://t.co/6iDGBJAc2m",other,escalate,
1464973,"A big thank you to Elizabeth on your chat line, she just provided outstanding customer service #rockstar","I am so glad the hear that Therese! Thanks for the shoutout, I will be sure to forward this on to our leadership. *TBW",praise,auto,
2507708,Gogo with iPass not working so good on  920 and 2501 today  #Hardtoworkwithnointernet,"Oh no, please reach out to GoGo Inflight Customer Service @ 877-350-0038. They will be glad to assist.  *TBT",other,auto,
506141,"literally still sitting on ground while a pilot and flight attendant argue over who is getting the “jump seat”  that’s embarrassing - do your dirty laundry behind closed doors, before take scheduled take off DL1998 ATL to MIA",Oh no! Thank you for letting us know. We will make sure to have this addressed internally. We're very sorry you had to witness this Daniel. *ASK,other,escalate,
2030590,Worst flight home with  #gross,"It is upsetting to hear we let you down. If you need any assistance, please follow/DM your confirmation number. *AMV https://t.co/6iDGBJAc2m",other,escalate,
1533956,"Seriously  ? I've been sitting in the runway for two hours, and haven't even been offered a Coke! #dl0932","I am really sorry to hear that, Rabbi. I am showing that DL932 was delayed 22 minutes this morning.  *AFM",inflight_experience,escalate,
902512,This is a ridiculous seat configuration . Not even human!!! There should be a minimum distance betwen rows! https://t.co/wPvSdDtmoS,"Hi, Corina. Thanks for your feedback. I will forward to our teams. My apologies for any issues. *HJH",inflight_experience,escalate,
2723561,you're amazing. First day on Gold. Lovin' it. #travelmojo,"Great to hear! This is amazing, James! Have a fantastic day! 😃 *HEM",praise,auto,
1260946,people waiting in line at your service desk and your ATL employees close? #CUSTOMERSERVICEFAIL,"Will, we welcome our customers feedback.  *HCK",other,escalate,feedback
1137145,Yes!  https://t.co/8fS6wQkm0X,Hello Dave! Thank you for the kudos.  *HKS,other,auto,
1975604,would I get Priority boarding only when I pay with my delta card or do I get it automatically since I have the card?,For having that card attached to your Delta Skymiles account you would get priority boarding with us. Thanks for checking with us.  *HRO,other,auto,
2130286,I don't understand how I can't use my global upgrade when I've done everything you've asked. Also upgrade certs not on app,"Hi, Marcus. Let us look into this. Please DM us your confirmation via this link.  *ALA https://t.co/6iDGBJAc2m",other,escalate,
1186589,"used to be terrified of flying before I met you, now I count down the hours til I see you again #jfk #terminal4 https://t.co/ZoSGgq0HgH",Thank you. We look forward to serving your future travel needs. Happy travels! *HJH,praise,auto,
234617,30 mins into flight &amp; I'm now Silver status!! Where's the balloons? Where's the parade? #chasinggoldbaby #firstclassonreturntripmaybe,Awesome!  Congratulations!!!!!!  👐  *ALY,other,auto,
282867,Hurricane Nate is poised to make landfall near #NewOrleans on Sunday and you haven't issued a travel alert yet!,We appreciate your patience. *ALS,rebooking_change,escalate,
949424,"Since when do you not gate check when overhead is full? I was just forced to check my bag to my final destination, thus forcing me to have to wait at baggage claim when I totally took a SOFT carry-on to avoid that. Better not be any damage!!!!","Hello, Yaya! It is the decision of the gate agent to advise of gate checks of bags. Your baggage will be fine and be waiting for you at the carousel.    *TCC",baggage,auto,
2376515,"Hey guys, made a trip last month and I checked in through the mobile app. Didn't receive a ticket for the baggage and need for travel expenses. Can you help?","Hi, Luis. Please DM your ticket number so we can send this to you.  *HDG",rebooking_change,auto,
1685668,do you have gift cards?,Hello. Yes. Pls see here:  https://t.co/1FhpTxfSE0.  *ARD,other,escalate,query
2491221,"I don’t have access to my email my skymiles account is through and don’t remember my login, what can I do?","Hi, Megan. I'll be happy to take a look. Please share your SkyMiles Account Number via DM.  *AJZ https://t.co/6iDGBJAc2m",rebooking_change,auto,
2017295,Customer service matters. Thanks  for your great service https://t.co/fc4DNYpplP,"So glad you liked it, Jude. Congratulations on being so awesome! Thank you so much from all of us for your continued Loyalty. 😄 *TAY",praise,auto,
652270,"I don't necessarily mind cancelled flights, i DO mind when you cancel two flights and don't NOTIFY me in either case.","Hello Colin, so sorry to hear this! Can you please provide your confirmation number in a DM for assistance?  *HES",delay_cancellation,auto,
2201674,"do u want to surprise+delight? flying 401 to LDN tonight, 7 months prego and not sleeping. Please upgrade me! 🙏🏻",HI Marina. Congrats on your new soon to be mommy-hood. I can get you a Delta Comfort + Aisle in 18C if that will help? *TMS,inflight_experience,auto,
2632745,what gives?! Got moved to a middle seat after check-in TODAY when I picked an aisle seat months ago.,"Hi, I am so sorry about your seat change. This happens when we have to do an aircraft swap, sometimes the seats can be change. *TMC",rebooking_change,auto,
1952944,Hi! Are the prices on the Brazilian website in dollars or real? And how does the luggage franchise from Gru to Yvr work? Thanks,...dimensions and 50 lbs in weight. *TCC 2/2,other,escalate,
599521,"What exactly does ""Changable / NonRefundable"" mean? If we cancel a flight, how long do we have to use the credit?  Also, is there a change fee?","Hi Thomas, changeable/nonrefundable means the ticket is changeable with a fee. Nonrefundable means that it is not refundable. If you cancel a ticket, the credit depends on the ticket type. Most tickets have a change fee and expire after the original date of purchase.  *TLT",other,auto,
60412,"After sitting on phone for an hour to book a simple flight, I see I never received a confirmation email. How can I get this simply?","Hi, Jen. I will be glad to assist you. Can you please DM the confirmation number? Thanks! *TJF https://t.co/6iDGBJAc2m",rebooking_change,escalate,
2244153,Big thanks to the  gate agent at #ATL on Wednesday who helped find space for my camera bag on a very full plane with no space. #myhero,"Kudos to the gate agent! Thanks for allowing us to be your ride in the sky. We appreciate your continued feedback, Dave.😄 *AJC",praise,auto,
296826,Hey  what's up with you not letting us pick our seats on flights? It's inconvenient and need an explanation please,Hello. Kyle. Follow/DM your confirm #.  *ARD,website_app_issue,escalate,
2466570,"Thank you,  for removing peanuts from your planes and making allergy announcements!Thankful to fly safely",You are most welcome Mary! We take allergies and safety very seriously!  *TJN,praise,auto,
1433897,for the whole night time flight. Then had really disappointing customer service.,Please follow/DM your Delta confirmation and allow me to look into this further.  *HML,other,escalate,
1660490,Been sitting on runway for a half hour in LAX. Need to make 10:15 flight and 90% sure it's not happening. Explain...,"Oh no, Alex. Let's take a look. Please use the link to provide your confirmation #.  *ABN https://t.co/6iDGBJAc2m",other,escalate,
2802580,how long does it take to have CZ flights credited to my Skymiles account when # was entered and displaying on boarding pass?,It may take up to 14 days to credit on our end here. Can you please send me your SkyMiles number so that I can take a look into this? *TBW https://t.co/6iDGBJAc2m,rebooking_change,escalate,
827633,": your desk agent is not listening to complaints on 6-hour delay to #sfo. Delay not ur fault, but is it good to shut customers down?","Moni, I'm so sorry to hear about the lack of customer service you're receiving. Pls, share more details via DM. *HYC",other,escalate,
2835084,"Every time I click on the cyber Monday link from the home page, I get this.....  https://t.co/nowIKBOjia","Oh no, Dahlia, I'm very sorry to see that. I am reporting this to our IT department now. We hope to have it back up soon.  *TJW",website_app_issue,escalate,
715526,Why does Delta upgrade me to a middle seat each time despite my preferences?? Frustrating!! Plus 2h wait on gold med line! Bad!!!,...option in your SkyMiles account. *TAC 2/2,rebooking_change,auto,
2020492,Got disconnected by TWO phone representatives just trying to make a purchase.  So very frustrating. Whole experience was horrible.,Oh no! So sorry for that. Please follow via DM for assistance. *TDL https://t.co/6iDGBJAc2m,other,auto,
2514476,"Just spitballing here, , JFK, could we go to a different gate? Or wheel out some stairs? Or slide down the raft on that safety thing?","Hi, Veronica. Please DM us your confirmation number for assistance.  *ALA",other,auto,
729572,Bout to watch this  episode on my  flight. AYEEE https://t.co/AoouhMVJGz,Enjoy! *ALY,other,auto,
1879818,"“customer service” - Flight to GFK for next weekend, &amp; charged me $300 to come home this weekend instead 4 dad’s ER open❤️surgery","Hannah, I am sorry to hear this has happened. Can you please DM your confirmation # so I can look into this? *TBW https://t.co/6iDGBJAc2m",other,auto,
2112116,"Hey  , question; if u book an international trip with miles +cash do you still get the MQMs on ur #skymiles acct for the journey? #thanks","Hi, there. Miles + Cash Award Tickets are not eligible for mileage accruals, such as MQMs, MQSs, and MQDs.    *AJZ",other,auto,
2644175,"trying to change my seat, available, put in all my credit card details to pay the difference, at the end, you cannot do it. Why?",2/2 https://t.co/6iDGBJAc2m,website_app_issue,escalate,
1285763,My flight is leaving in 10 minutes and I’m still in line at security. No one will help me. Please help me,Hi Olivia. Please DM your confirmation number. Thank you.  *TMS https://t.co/6iDGBJAc2m,inflight_experience,auto,
1052552,This is the third time the first flight of the day has a maintenance issue. First flights should never. Check them overnight.,"At Delta, the safety of our passengers and staff is paramount. However, we do understand the inconvenience and frustration caused by... 1/3",other,escalate,
61262,"Thank you  for sending aid, answering the call, &amp; working to help #PuertoRico Humanitarian efforts. Proud to #FlyDelta","Delta Flight 9771 arrived in Puerto Rico on Friday with supplies, NY State Troopers, and more than 100 relief workers. https://t.co/BhqHU9ewrS",praise,auto,
12068,.  Cheers and thanks for the upgrade to Dublin!! Unexpected and appreciated!! #2millionsoon https://t.co/KoDdFKMmXp,"Cheers to you John, for being a loyal Delta customer! 🍻😉 *TJN",praise,auto,
271961,with the same end destination.all of our wedding group minus 1 flew . The 1 that didnt made it there...despite the storm.,...confirmation number so I can see if there is anything that we can do.  *HDG 2/2,other,escalate,
1805413,The gate agent for  1221 from ATL-OKC (Toby?) is amazing. After a brief delay finally headed to see my nephew!,Thank you for the compliment! I will be sure to pass this along to the leadership team in ATL. Enjoy your visit with your nephew! ✈ *TSE,other,auto,
2258229,When your flying back home after a week long business trip in Minnesota the last thing you want is  to forget their security sweep on the plane and delay everything an hour...,I'm very sorry Grant. Getting you home safe and secure is our # 1 goal. We know your time is valuable.  *TBT,other,auto,
91756,Another poor  experience. Told 2 call 24 hrs/advance &amp; would have ticket (didn't); paid $75 change fee &amp; still didn't get ticket (1/2),Sorry to hear about your experience. Did you request a Same-Day-Confirm? Please elaborate. *ALS,other,escalate,
2556160,"Hi Delta, it's been a while since we last talked. I hope all is well! Have a great day :)",Thank You Cathy! You have a great day as well. *TMC,other,auto,
282547,"this really nice clean plane and also I can poke my finger through the air vent hole. gate agents say plane is being cleaned, really https://t.co/0IfK96P0dG","Sorry about that. I will gladly report that to maintenance, and get that taken care of. *TMA",other,escalate,
1917062,The gate team working DL5703 0815 LAX Gate 36 is fantastic. Just what you hope for when flying.,Hi Patricia! Thanks for the shout out. Thank you for choosing Delta. *TMC,praise,auto,
1507188,"9hr flight DL0090: ATL to Düsseldorf. My screen doesn’t work, can’t call a flight attendant, &amp; no working outlets. Unacceptable.",2/2 https://t.co/6iDGBJAc2m,inflight_experience,escalate,
650014,has to have the happiest employees in the industry! Keep selecting the right ones and treating them well . People like Holly Hughes make traveling easy.,Awesome. Thanks for reaching out.  *ALY,praise,auto,
2023409,"""The ones who really truly change the world, are the ones who cant wait to get out in it."" I love this  https://t.co/Bq4WewUiBr","Hello, Kelly! I love that commercial too! Keep flying! *TCC",other,auto,
1104811,Any info on DL0479? Says we leave at 8:15 when we haven’t even boarded.,"I'm very sorry Katherine, It currently shows a departure @ 8:45 PM and arrives @ 11:48 PM. *TBT",website_app_issue,auto,
1196843,flight dep time adjusted 5 times then cancelled while flight after departs on time? How does bag get sent if flight cancelled? Awful,"Hey Dave, sorry to hear this. Please DM your conf # so I can review your trip details. Thanks. *TLT https://t.co/6iDGBJAc2m",other,auto,
2250165,can you verify that my TSA Precheck number is attached to my upcoming flight tomorrow?,Hello. Please allow me one moment to research this. Thanks. *ATJ,other,auto,
1225371,$150 for 3rd checked bag? But offer to check bag to final dest at gate. Don’t understand. Had to leave a bottle of  behind😞,...also the size limit. *TMC 2/2,other,escalate,Feedback for weight limit
2023385,gotta find a new glue for your FAA stickers. Now on our 3rd plane over 2 hours delayed due to FAA stickers falling off 😏🙄,Hi Jonathan! I am so sorry about the delay. Will have you on your way soon. *TMC,other,escalate,
1071492,How about flights to NYC area on Wednesday Oct 25?,"Due to forecasted weather in the New York City area, we’ve issued a travel waiver for October 24th. See more here: https://t.co/WFfIphYJQB",other,auto,
571418,- DTW to CDG - Platinum status but sitting next to a dog in coach - $3000k ticket and no upgrade #really?,"Andrew, currently, complimentary upgrades are not available on international flights.  *HCA",other,auto,
2426424,need to rant! First/Business Class &gt; Comfort+ (Aisle/Window) &gt; Economy (Aisle/Window) &gt; ANY MIDDLE SEAT! Add a feature to exclude middle seats on upgrades—NO ONE WANTS THEM! Thanks,We appreciate your constructive feedback and we are grateful you've taken the time to share. It helps us to be better. *AJZ,rebooking_change,escalate,
518981,FIX THE B SKYCLUB WIFI AND CELL RECEPTION!!!!!,"I am sorry to hear that, Eric. What is the Sky Club location with this issue? *AFM",other,escalate,
1055620,Flying 1st class and want to check a 5 by 7 foot rug I have rolled up. Is that ok? Rolled up it is about 5 feet by 1 foot.,Please DM your confirmation number that we can check the overhead bin dimensions for you. Thanks.  *TAS https://t.co/6iDGBJAc2m,other,auto,Inormation regarding ooverhead
2962108,"Fly a real airliner like 

Am I shamelessly shilling for my dad's retirement check provider?

Yes. https://t.co/BvMXODq0KY",Thanks for the shout out! 😃 *TMT,praise,auto,
1432720,Usually fly  but today flying  out of Charlotte. First impression  is head and shoulders above!,Awesome. Welcome aboard!  *ALY,praise,auto,
1794856,"Good morning, I can't check-in for my flight from LAS and as well not for my conn flight ex LAX, can you help me CI &amp; save time?","Hi, Jack. I am sorry I cannot check you in for your international flight. Please see an Agent at the airport for assistance.   *TJF",website_app_issue,auto,
941160,please help. i've been on phone trying to change flight for over 2 hours. flight leaves in 20 minutes and still haven't changed it!,Hi Keith. I'd be happy to help. Please follow/DM your confirmation code or tkt # to better assist. *TKR,other,escalate,
296831,", I truly appreciate the eagerness &amp; good intentions behind #text reminders. I reckon 3 texts within 7 mins is a tad too much though. https://t.co/LtvRzJnrpe","Hey, thanks for your feedback and reaching out to us. leadership will be notified. *AJY",other,auto,
1299682,Damn  sitting on the runway for a hour after a hour flight delay is trash smh,I'm very sorry for any inconvenience. Do you need help with a connecting flight? *TBT,inflight_experience,escalate,
2448759,would be wise to compensate those on flight 1493 with miles for the mechanical issues and resulting delays. #makeitawin,Hi Lindsay. Are you in need of rebooking assistance at this time? We see the flight diversion for DL1493. Let us know if you would like us to review your travel if you are a passenger and we're eager to assist. *ADB,other,escalate,
1854,"I love the sky lounge access. Thank you. Imagine if they had a ""dark or more dim room"" to relax. That's next level!!","Enjoy, have a great week. 😊 *TBT",praise,auto,
400944,When your 40 min flight JFK to BOS turns into 3 hours on the runway     this is UNACCEPTABLE!! FIX IT!!,I sincerely apologize for the inconvenience with the delays today. Thank you for bearing with us. *CKP,inflight_experience,auto,
1281553,"I'm at  Air Lines Ticket Counter in Detroit, MI https://t.co/IrJrJLAhzw","Hi, Michael, have a great flight!  *TRR",other,auto,
2249149,"Not impressed     Broken APU on our plane, delayed out of LAS To LAX, over 30 minutes to get our bags (while staff knew 5 bags were waiting to be delivered to us). You’re taking time from me seeing my family after 2 weeks away. Not impressed today. 😞",Noted Duane; I'll be sharing your concerns with our leadership team. Thanks for taking the time to provide your feedback. Have a good Veteran's Day weekend. *HNW,other,escalate,
1362781,my delta acc has been disabled due exceed login attemp is there a way to re enabled my acc ? Thx,"Unfortunately, the account will be locked for 24 hours after your last failed login attempt. *AJY",website_app_issue,auto,
1662681,"MCO, gate 74, DL2200 ....  gate agents are super awesome and funny! (Voluntarily checked my bag to AVL ... please don’t lose it!)",We are glad to hear that our agents are taking good care of you! *ALA,praise,auto,
1112806,Thanks  for making it easy to move my flight up 2day. Pilot on flight 455 JFK to Austin did gr8 with all the turbulence.,"Hi Nicholas, glad we exceeded your expectations today. Feel free to tweet us if you need us!😄 *AJC",other,auto,
708664,Had to rebook my rental car because of a  delay at my own expense. Will you guys reimburse?,...link provided. Start the process by selecting Voice a Complaint under Category and After Trip under Subcategory.... 2/3,other,escalate,DElay
299090,". no entertainment on 5-hour flight to SF last week, can't upgrade in-app today, then flight gets bumped in NY #travelproblems #smh","Hello, Oscar. Very sorry for all of your mishaps. We must do better. If you need any help, let us know.  *ARD",inflight_experience,escalate,
2865574,Goodnight from  Back to  tomorrow via   #MorningRushATL #WeDidIt https://t.co/diNuZV5W4f,Goodness! That looks amazing! Thanks for the mention. Can't wait to have you onboard.  *AST,other,auto,
1238077,How come I can't choose my seat &amp; have to get assigned at the gate when there are available seats on the map? (  ),Good evening! Did you purchase basic economy tickets? *ABN,website_app_issue,escalate,
783705,was on the phone with an agent about changing a flight fee was $200 got disconnected called back and it’s now $750. 😡,"I do apologize, fares are all based on flight availability.  *AMS",other,auto,
942794,think my SM# may have been accidentally removed from one leg of my Jet Airways flight - can u help check?,Hello! I contacted Jet Airways to ensure your SkyMiles account number was noted in your reservation. Have a great day! *TJF,other,auto,
973687,"is the best airlines in US - maybe world. If you commit to one airline, do / 😍 I'm at 1.2 mil Delta miles for a reason.",Happy to hear that. Thanks for sharing the love! We really appreciate your loyalty. 😍 *AMV,praise,auto,
361485,I am having trouble checking in to my flight for tonight. When I try to check in it says I need to check in through aeromexico.,Please DM your confirmation number so we can review your itinerary.  *TDH https://t.co/6iDGBJAc2m,website_app_issue,auto,
2160567,Flying to Seattle from Las Vegas onboard  DL144. Was napping so I can go straight to work after arriving. I'm an oncology nurse.,"Welcome on board, JL! *ABN",other,auto,
368370,"has a bowl with free mints, jolly ranchers, and werther’s originals at the baggage check. surprise &amp; delight, y’all!",It is our pleasure to take care of you when you fly with us! 😊 *TDL,praise,auto,
2072710,Is there anything I need to do if I am traveling with an infant in arms?,"Hi Mike, we would need to add the infant to your reservation. Can you pls DM me your confirmation number.  *TMB https://t.co/6iDGBJRMTU",other,auto,
1978329,Finally found my bag - thanks to  's amazing customer support! You guys rock.,"Thanks so much for the shout out, Pinal. Again, we apologize for the delay but I am glad to hear our staff was able to locate it. *HKC",praise,auto,
1407602,you have changed my fight for the third time and the new times are not acceptable. Please let me know how to amend,"Hi, Cee. Sorry to hear of this. We will be happy to take a look. Please share your conf # via DM. *AJZ https://t.co/6iDGBJAc2m",rebooking_change,escalate,
1013903,Dad passed away last night. Trying to get home using dad's skymiles.  Ben Cincinnati delta manager not allow access of account help.,"Robin, I am so sorry to hear about the passing of your father. Do you have his SkyMiles number? Please follow/DM here.  *HJB... 1/2",other,escalate,
